"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1761305,0.00762222222222,0.393719537037
0.1,0.176302,0.0191031944444,0.769780925926
0.15,0.1778455,0.0444185,1.50839013889
0.2,0.176302,0.148252222222,2.52320433642
0.25,0.188307,0.335568333333,2.79867356481
0.3,0.212317,0.481724444444,2.00092861111
0.35,0.240786,0.541177777778,0.976067901235
0.4,0.2673685,0.565187777778,0.20410617284
0.45,0.299439,0.544798333333,-0.186003395062
0.5,0.3215625,0.526314444444,-0.175469907407
0.55,0.3500315,0.536604444444,-0.271753395062
0.6,0.3774715,0.510498333333,-0.507989351852
0.65,0.4025105,0.463145277778,-0.356550617284
0.7,0.420861,0.463335833333,0.00926311728395
0.75,0.4481295,0.480485833333,0.131906790123
0.8,0.4704245,0.477341666667,0.228243209877
0.85,0.494606,0.496683055556,0.410594290123
0.9,0.519988,0.521264722222,0.495444444444
0.95,0.546056,0.554421388889,0.367084104938
1,0.5750395,0.585291388889,-0.238247376543
1.05,0.609511,0.528791666667,-0.769103395062
1.1,0.6282045,0.465527222222,-0.516881944444
1.15,0.652386,0.465717777778,-0.00608719135802
1.2,0.674338,0.480866944444,0.254338734568
1.25,0.7002345,0.504972222222,0.227819753086
1.3,0.7259595,0.507735277778,0.0861205246914
1.35,0.75117,0.506687222222,0.0518734567901
1.4,0.776209,0.510879444444,0.0607660493827
1.45,0.802277,0.515262222222,0.0381640432099
1.5,0.828002,0.515071666667,0.00651064814814
1.55,0.853727,0.515166944444,-0.0125978395062
1.6,0.8796235,0.513261388889,-0.0168324074074
1.65,0.9050055,0.512118055556,0.0127037037037
1.7,0.9307305,0.513928333333,0.0604484567901
1.75,0.9564555,0.515833888889,0.144610493827
1.8,0.981666,0.529935,0.183568518519
1.85,1.0096205,0.540510833333,0.0802450617284
1.9,1.03586,0.544321944444,-0.144557561728
1.95,1.065015,0.529268055556,-0.40429537037
2,1.0902255,0.488584444444,-0.370524691358
2.05,1.112006,0.480866944444,-0.109410648148
2.1,1.1379025,0.4827725,0.0877084876543
2.15,1.160026,0.493824722222,0.205588271605
2.2,1.1872945,0.506020277778,0.247775154321
2.25,1.2106185,0.518215833333,0.277152469136
2.3,1.2387445,0.537366666667,0.219244753086
2.35,1.264984,0.543559722222,0.0688646604938
2.4,1.292767,0.550324444444,-0.189973302469
2.45,1.321579,0.527457777778,-0.467284567901
2.5,1.346618,0.485630833333,-0.403077932099
2.55,1.368227,0.476388888889,-0.114597993827
2.6,1.3937805,0.480009444444,0.101841358025
2.65,1.416247,0.488584444444,0.256720679012
2.7,1.4418005,0.511260555556,0.272494444444
2.75,1.4678685,0.524123055556,0.127513425926
2.8,1.4949655,0.523265555556,-0.0130212962963
2.85,1.5203475,0.517263055556,-0.0488563271605
2.9,1.5464155,0.515452777778,-0.00291126543209
2.95,1.571969,0.514309444444,0.117615123457
3,1.5975225,0.523075,0.297054938272
3.05,1.623419,0.546036944444,0.407259567901
3.1,1.651545,0.580051111111,0.187220833333
3.15,1.683444,0.572619444444,-0.207652623457
3.2,1.7086545,0.560805,-0.582094290123
3.25,1.74244,0.498874444444,-0.600620524691
3.3,1.757189,0.464002777778,0.0922077160494
3.35,1.784972,0.510117222222,0.708337345679
3.4,1.8081245,0.557660833333,0.771591203704
3.45,1.837451,0.646840833333,-0.241211574074
3.5,1.883413,0.548990555556,-1.45129228395
3.55,1.8952465,0.402262777778,-0.901327777778
3.6,1.9130825,0.431417777778,0.219403549383
3.65,1.9381215,0.477722777778,0.518469907407
3.7,1.9631605,0.50078,0.435578240741
3.75,1.9888855,0.507258888889,0.47548904321
3.8,2.011695,0.542988055556,0.652758641975
3.85,2.043937,0.585767777778,0.517199537037
3.9,2.0718915,0.583290555556,0.376506018519
3.95,2.0938435,0.698576666667,-0.951877932099
4,2.1609,0.495063333333,-2.24792037037
4.05,2.142035,0.313463888889,-0.770691358025
4.1,2.1737625,0.440564444444,0.486551851852
4.15,2.1957145,0.433704444444,0.589557716049
4.2,2.214751,0.481152777778,0.769368055556
4.25,2.242191,0.533936666667,0.477447530864
4.3,2.2722035,0.529553888889,0.193043364198
4.35,2.2944985,0.529268055556,0.233377623457
4.4,2.321424,0.577669166667,-0.0719347222222
4.45,2.358125,0.533650833333,-0.459927006173
4.5,2.376647,0.4690525,0.157525925926
4.55,2.3960265,0.546513333333,0.769844444444
4.6,2.431184,0.627499444444,0.0214904320988
4.65,2.4683995,0.547561388889,-0.760845987654
4.7,2.4834915,0.495635,-0.561609567901
4.75,2.5157335,0.483153611111,-0.0508359876544
4.8,2.532369,0.476388888889,0.814349753086
4.85,2.5586085,0.568617777778,1.61852595679
4.9,2.590336,0.6460405,2.22851546296
4.95,2.619491,0.792996944444,2.78283098765
5,2.674028,0.952587222222,3.04435790123
