"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.183505,0.0118144444444,-0.117784506173
0.1,0.1843625,0.00476388888889,-0.0277522993827
0.15,0.184191,-0.000686,0.261696296296
0.2,0.1843625,0.00676472222222,0.979656697531
0.25,0.182819,0.0669802777778,2.19946632716
0.3,0.184191,0.251438055556,2.86109638889
0.35,0.208544,0.4261775,2.13009351852
0.4,0.2334115,0.481152777778,0.979137962963
0.45,0.2581075,0.493348333333,0.318227777778
0.5,0.282632,0.494396388889,0.0755341049383
0.55,0.3074995,0.496016111111,0.0167794753086
0.6,0.332367,0.495539722222,0.00021172839506
0.65,0.357063,0.494968055556,0.00746342592592
0.7,0.381759,0.496206666667,0.0116979938272
0.75,0.4066265,0.497731111111,-0.0128625
0.8,0.4316655,0.496683055556,-0.0632009259259
0.85,0.4567045,0.488775,-0.0645242283951
0.9,0.4802,0.486678888889,0.000529320987652
0.95,0.5050675,0.490394722222,0.0466331790123
1,0.5294205,0.492109722222,0.0827858024691
1.05,0.5541165,0.497826388889,0.126243055556
1.1,0.5791555,0.504591111111,0.157472993827
1.15,0.6041945,0.517167777778,0.114174537037
1.2,0.6312915,0.521264722222,-0.0244016975309
1.25,0.6570165,0.512308611111,-0.119361882716
1.3,0.6823985,0.504114722222,-0.112427777778
1.35,0.707266,0.499065,-0.0543083333333
1.4,0.7321335,0.498398055556,0.0106393518519
1.45,0.7568295,0.502590277778,0.027524691358
1.5,0.7825545,0.504114722222,-0.00746342592593
1.55,0.8075935,0.499731944444,-0.00386404320987
1.6,0.8322895,0.500208333333,0.0581194444444
1.65,0.8573285,0.505925,0.103164660494
1.7,0.882539,0.516596111111,0.039275617284
1.75,0.909636,0.514023611111,-0.0691293209877
1.8,0.9348465,0.499446111111,0.0253015432099
1.85,0.959028,0.499827222222,0.357238734568
1.9,0.981666,0.548418888889,0.411070679012
1.95,1.0144225,0.583766944444,-0.251903858025
2,1.046493,0.509640833333,-0.674249074074
2.05,1.0633,0.467909166667,-0.265083950617
2.1,1.089368,0.490775833333,0.0580665123457
2.15,1.113378,0.501828055556,-0.078762962963
2.2,1.141161,0.486869444444,-0.313887345679
2.25,1.163113,0.451330833333,-0.224749691358
2.3,1.1842075,0.45276,0.0891905864198
2.35,1.2075315,0.471434444444,0.223161728395
2.4,1.2318845,0.484392222222,0.175152314815
2.45,1.256409,0.488870277778,0.0941132716049
2.5,1.280762,0.491252222222,0.0511324074074
2.55,1.305458,0.494205833333,0.0159854938272
2.6,1.330497,0.492109722222,-0.00142916666666
2.65,1.354507,0.492300277778,0.0107452160494
2.7,1.379546,0.495158611111,-0.00624598765433
2.75,1.4044135,0.491728611111,-0.0199024691358
2.8,1.428595,0.490585277778,0.0113274691358
2.85,1.453291,0.492681388889,0.0469507716049
2.9,1.4778155,0.496301944444,0.0607660493827
2.95,1.5028545,0.500684722222,0.0338765432099
3,1.528065,0.501351666667,-0.0229195987654
3.05,1.5532755,0.496778333333,-0.048962191358
3.1,1.5776285,0.493824722222,-0.0231842592593
3.15,1.602496,0.494015277778,0.0185262345679
3.2,1.6270205,0.495920833333,0.049650308642
3.25,1.651888,0.500113055556,0.0536202160494
3.3,1.676927,0.505829722222,-0.0125978395062
3.35,1.7035095,0.495253888889,-0.0219668209877
3.4,1.725633,0.497445277778,0.0655299382716
3.45,1.7525585,0.510498333333,0.015562037037
3.5,1.778112,0.500684722222,-0.0579606481481
3.55,1.8022935,0.496301944444,0.00645771604939
3.6,1.827161,0.501542222222,0.0700820987654
3.65,1.852543,0.506401388889,0.0738402777778
3.7,1.877582,0.5136425,-0.0130742283951
3.75,1.904679,0.506877777778,-0.125290277778
3.8,1.928689,0.492967222222,-0.0910961419753
3.85,1.953042,0.494205833333,0.0213316358025
3.9,1.978081,0.498683888889,0.0822564814815
3.95,2.00312,0.501351666667,0.138523302469
4,2.0273015,0.517167777778,0.105123148148
4.05,2.0557705,0.518025277778,-0.032500308642
4.1,2.079952,0.504495833333,-0.0271012345679
4.15,2.1044765,0.515929166667,-0.0134976851852
4.2,2.1326025,0.510498333333,-0.065212345679
4.25,2.1569555,0.491442777778,0.14535154321
4.3,2.1785645,0.518596944444,0.393497222222
4.35,2.206519,0.578717222222,-0.124231635802
4.4,2.2447635,0.504876944444,-0.607925154321
4.45,2.2553965,0.455618333333,-0.086438117284
4.5,2.2831795,0.517834722222,0.126825308642
4.55,2.3119915,0.507354166667,-0.245499074074
4.6,2.336516,0.4604775,-0.117138734568
4.65,2.354009,0.474578611111,0.344164506173
4.7,2.382135,0.522312777778,0.389844907407
4.75,2.409232,0.526314444444,0.200464444444
4.8,2.4351285,0.5239325,0.250082993827
4.85,2.45931,0.5530875,0.243000679012
4.9,2.4910375,0.571209333333,-0.132976018519
4.95,2.519678,0.537080833333,-0.478469120371
5,2.5431735,0.501923333333,-0.639377407408
