"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1764735,0.001715,0.142884907407
0.1,0.1764735,0.00443041666667,0.339220648148
0.15,0.1764735,0.0196653333333,0.741340509259
0.2,0.178017,0.0520216666667,1.56704949074
0.25,0.177674,0.166926666667,2.53371665123
0.3,0.191394,0.343762222222,2.76504580247
0.35,0.2145465,0.479056666667,2.3280595679
0.4,0.2423295,0.561281388889,2.11506080247
0.45,0.2704555,0.659798611111,2.19588811728
0.5,0.303555,0.806240555556,1.57721774691
0.55,0.3483165,0.959923611111,-1.34500462963
0.6,0.426692,0.6491275,-3.65003873457
0.65,0.411943,0.353385277778,-1.67535385802
0.7,0.4374965,0.473530555556,0.72416404321
0.75,0.464422,0.546703888889,1.16270648148
0.8,0.4940915,0.610635277778,0.924194444444
0.85,0.526162,0.639028055556,0.479723611111
0.9,0.558747,0.651128333333,0.201724228395
0.95,0.591675,0.653224444444,0.0598662037037
1,0.6240885,0.653033888889,0.0220726851852
1.05,0.656845,0.654844166667,0.013762345679
1.1,0.689773,0.653796111111,0.0215433641975
1.15,0.722015,0.656178055556,0.0417104938272
1.2,0.755286,0.660179722222,0.0251956790123
1.25,0.7883855,0.65856,0.00942191358025
1.3,0.8209705,0.659512777778,0.0176793209877
1.35,0.8542415,0.661608888889,0.00709290123457
1.4,0.887341,0.660465555556,-0.00444629629629
1.45,0.920269,0.659703333333,0.00852206790123
1.5,0.953197,0.660941944444,0.0272070987654
1.55,0.9862965,0.663419166667,0.0258837962963
1.6,1.0195675,0.665134166667,-0.00598132716049
1.65,1.05301,0.663133333333,-0.044674691358
1.7,1.085938,0.659036388889,-0.0447805555556
1.75,1.118866,0.657226111111,-0.0104276234568
1.8,1.151794,0.653986666667,0.0837915123457
1.85,1.1831785,0.669421666667,0.0942191358025
1.9,1.219365,0.672946944444,-0.0792922839506
1.95,1.2510925,0.662466388889,-0.267148302469
2,1.2860785,0.6422675,-0.35072808642
2.05,1.316091,0.612255,-0.15435
2.1,1.3450745,0.620734722222,0.149903703704
2.15,1.377145,0.646650277778,0.159749074074
2.2,1.4123025,0.636360277778,0.183886111111
2.25,1.440257,0.640457222222,0.539113425926
2.3,1.472499,0.704579166667,0.544724228395
2.35,1.511258,0.747454166667,-0.336595216049
2.4,1.55379,0.674757222222,-1.17530432099
2.45,1.581916,0.548990555556,-0.491262808642
2.5,1.601124,0.573286388889,1.071875
2.55,1.633023,0.704960277778,1.61030030864
2.6,1.669381,0.861025277778,-0.111792592593
2.65,1.7364375,0.7142975,-2.17460941358
2.7,1.744841,0.487726944444,-1.48199290123
2.75,1.76988,0.520407222222,0.204212037037
2.8,1.7971485,0.572333611111,0.887300771605
2.85,1.8266465,0.648460555556,0.720141203704
2.9,1.8647195,0.664657777778,0.0849030864198
2.95,1.896104,0.628166388889,-0.0201141975309
3,1.925259,0.629786111111,0.494068209877
3.05,1.956815,0.683522777778,0.834897993827
3.1,1.992487,0.744786388889,0.496767746914
3.15,2.03056,0.79919,-0.87507345679
3.2,2.0866405,0.619400833333,-1.4405470679
3.25,2.08887,0.512499166667,0.418004783951
3.3,2.1202545,0.696194722222,1.73537885802
3.35,2.163644,0.816530555556,0.821559104938
3.4,2.2132075,0.754028333333,-0.0225490740741
3.45,2.2310435,0.782706944444,-0.436372222222
3.5,2.293298,0.767081388889,-1.49289691358
3.55,2.320395,0.563663333333,-1.24633919753
3.6,2.3380595,0.551848888889,0.472260185185
3.65,2.365671,0.707246944444,0.616447222222
3.7,2.4210655,0.674090277778,-0.349669444444
3.75,2.433585,0.619496111111,-0.548905864198
3.8,2.4797185,0.609015555556,-0.465273148148
3.85,2.4975545,0.552515833333,0.167900617284
3.9,2.529625,0.613684166667,0.998193518519
3.95,2.560495,0.653796111111,1.56430231481
4,2.5857055,0.831393888889,0.991206481481
4.05,2.653791,0.837586944444,-1.01492006173
4.1,2.6831175,0.610158888889,-1.13645216049
4.15,2.693922,0.693145833333,-0.589875308642
4.2,2.7602925,0.659893888889,-1.5261382716
4.25,2.773841,0.422652222222,-0.504813425926
4.3,2.778643,0.5668075,1.99485200617
4.35,2.8357525,0.655034722222,5.7625587963
4.4,2.8532455,0.653605555556,21.2801328704
4.45,2.878113,2.21130194444,39.5201106481
4.5,2.9551165,4.88536805556,40.8195407407
4.55,3.039666,11.7648047222,-46.8135716049
4.6,5.230407,0.287834166667,-127.708798302
4.65,3.0439535,-10.7540027778,-40.0690694444
4.7,3.054758,-3.33710416667,49.1290333333
4.75,3.0587025,-0.327850833333,46.6889694444
4.8,3.121643,1.66345472222,24.4511096451
4.85,3.2264295,2.23483555556,-5.72135115741
4.9,3.4908825,0.356434166667,-18.6182146759
4.95,3.2202555,-0.886797916667,-9.70962600309
5,3.2696475,-0.19551,2.37268132716
