"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1761305,0.0190555555556,0.447128024691
0.1,0.1775025,0.0269636111111,0.957028225309
0.15,0.177331,0.0649985,1.80926148148
0.2,0.177331,0.212469444444,2.51846691358
0.25,0.1980825,0.376061388889,2.14768814815
0.3,0.2200345,0.449139444444,1.27411796296
0.35,0.244216,0.4862025,0.643177932099
0.4,0.2694265,0.499160277778,0.319762808642
0.45,0.294294,0.507068333333,0.260902314815
0.5,0.319333,0.526981388889,0.209346450617
0.55,0.3479735,0.530316111111,0.126772376543
0.6,0.3723265,0.536032777778,0.0565314814815
0.65,0.400967,0.543178611111,-0.16636558642
0.7,0.427035,0.537557222222,-0.629944907407
0.75,0.4591055,0.461335,-0.704949691358
0.8,0.471282,0.420746666667,0.0226549382716
0.85,0.4954635,0.478866111111,0.501743364198
0.9,0.521017,0.511355833333,0.284721759259
0.95,0.549143,0.504781666667,0.0365760802469
1,0.5712665,0.494872777778,0.0858029320988
1.05,0.596477,0.518215833333,0.0870733024691
1.1,0.624603,0.516881944444,-0.10120617284
1.15,0.6494705,0.495825555556,-0.0824152777778
1.2,0.6727945,0.496873611111,0.129524845679
1.25,0.698005,0.518120555556,0.19251404321
1.3,0.725445,0.526886111111,0.0677530864198
1.35,0.751513,0.520693055556,0.0124390432099
1.4,0.777238,0.518692222222,0.142704938272
1.45,0.802963,0.529172777778,0.360255864198
1.5,0.829031,0.559852222222,0.405301080247
1.55,0.857843,0.599773611111,-0.111210339506
1.6,0.892829,0.567665,-0.90593287037
1.65,0.918554,0.467909166667,-0.932451851852
1.7,0.9358755,0.431989444444,-0.172823302469
1.75,0.9578275,0.468861944444,0.321827160494
1.8,0.9838955,0.495253888889,0.248463271605
1.85,1.008763,0.49735,0.0364172839506
1.9,1.0339735,0.489251388889,-0.029324382716
1.95,1.0572975,0.486964722222,0.0579606481482
2,1.0819935,0.497254722222,0.128836728395
2.05,1.1073755,0.503543055556,0.137835185185
2.1,1.1324145,0.508973888889,0.172558641975
2.15,1.1577965,0.520883611111,0.224749691358
2.2,1.185065,0.530125555556,0.275458641975
2.25,1.210447,0.542892777778,0.335854166667
2.3,1.236515,0.59339,-0.10803441358
2.35,1.2754455,0.548037777778,-0.778101851852
2.4,1.2936245,0.462668888889,-0.540013271605
2.45,1.3152335,0.482486666667,-0.0501796296296
2.5,1.343188,0.487250555556,-0.00767515432099
2.55,1.36514,0.479247222222,0.0302771604938
2.6,1.389836,0.488203333333,0.0713524691358
2.65,1.4147035,0.486774166667,0.121267438272
2.7,1.4380275,0.495730277778,0.234171604938
2.75,1.4634095,0.517739444444,0.208605401235
2.8,1.4908495,0.522312777778,0.0879202160494
2.85,1.51606,0.519740277778,0.0774925925926
2.9,1.5422995,0.525552222222,0.136670679012
2.95,1.568196,0.537557222222,0.122220216049
3,1.5961505,0.546608611111,-0.0294302469136
3.05,1.6242765,0.530506666667,-0.066112191358
3.1,1.649144,0.5205025,0.264766358025
3.15,1.6746975,0.54537,0.740943518519
3.2,1.7007655,0.618066944444,0.707119907407
3.25,1.7374665,0.665991666667,-0.255238580247
3.3,1.773653,0.595771944444,-1.2776220679
3.35,1.798349,0.491919166667,-1.40296527778
3.4,1.820987,0.422080555556,-0.798427777778
3.45,1.83848,0.400261944444,0.0736814814815
3.5,1.8571735,0.453141111111,0.498302777778
3.55,1.885471,0.481629166667,0.305894598765
3.6,1.90708,0.479723611111,0.117403395062
3.65,1.932805,0.48363,0.0978185185185
3.7,1.955786,0.483344166667,0.228402006173
3.75,1.980139,0.502971388889,0.430761419753
3.8,2.0053495,0.532602777778,0.572195987654
3.85,2.034676,0.560042777778,0.608825
3.9,2.060744,0.582528333333,0.624175308642
3.95,2.085783,0.702387777778,-0.652705709877
4,2.1483805,0.53165,-2.04037361111
4.05,2.139634,0.348240277778,-0.834633333333
4.1,2.166045,0.451045,0.462573611111
4.15,2.191084,0.469147777778,0.562033024691
4.2,2.212693,0.505353333333,0.516035030864
4.25,2.2416765,0.525742777778,0.28895632716
4.3,2.266887,0.522026944444,0.282233950617
4.35,2.2914115,0.5548025,0.259526080247
4.4,2.3236535,0.564139722222,0.00725169753088
4.45,2.350236,0.539272222222,-0.0064047839506
4.5,2.3747605,0.552896944444,0.110892746914
4.55,2.404087,0.585958333333,-0.32283287037
4.6,2.4395875,0.518215833333,-0.693992746914
4.65,2.454165,0.472006111111,-0.23194845679
4.7,2.4831485,0.496968888889,0.333631018519
4.75,2.5071585,0.483439444444,1.2596675
4.8,2.523108,0.634168888889,1.63901067901
4.85,2.571128,0.735735,0.00345117283948
4.9,2.599254,0.759630666667,-3.86160833333
4.95,2.671627,0.36358,-8.10756722222
5,2.628752,-0.266396666667,-10.8333374074
