"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1816185,0.0161972222222,0.79235117284
0.1,0.1819615,0.0406836111111,1.42508030864
0.15,0.184534,0.095011,2.59419157407
0.2,0.1843625,0.272494444444,4.09610811728
0.25,0.2056285,0.569951666667,4.36437858025
0.3,0.2461025,0.784517222222,3.12017783951
0.35,0.289835,0.883225,1.68440524691
0.4,0.3363115,0.923718055556,0.759205092593
0.45,0.3829595,0.938200277778,0.334689660494
0.5,0.4302935,0.946870555556,0.198601234568
0.55,0.4776275,0.954683333333,0.169012191358
0.6,0.5256475,0.964211111111,0.144822222222
0.65,0.574182,0.970880555556,0.088449537037
0.7,0.622888,0.973834166667,0.0161442901235
0.75,0.6717655,0.972214444444,-0.0470566358025
0.8,0.7203,0.966878888889,-0.0635714506173
0.85,0.76832,0.963734722222,-0.0364702160494
0.9,0.8165115,0.963544166667,-0.00767515432098
0.95,0.864703,0.963639444444,0.0127037037037
1,0.9128945,0.963925277778,0.0472683641975
1.05,0.9609145,0.9681175,0.0792922839506
1.1,1.0096205,0.973167222222,0.0834209876543
1.15,1.058155,0.979646111111,0.0319180555556
1.2,1.108233,0.975072777778,-0.00555787037037
1.25,1.155224,0.976597222222,-0.00354645061729
1.3,1.2058165,0.978788611111,-0.0642066358025
1.35,1.2538365,0.968689166667,-0.0967069444444
1.4,1.3021995,0.966211944444,-0.0768574074074
1.45,1.3505625,0.961829166667,-0.0597074074074
1.5,1.398411,0.958494444444,-0.00995123456791
1.55,1.446088,0.960876388889,0.0333472222222
1.6,1.494451,0.964211111111,0.0347234567901
1.65,1.5426425,0.965354444444,0.022125617284
1.7,1.591177,0.964211111111,0.0470566358025
1.75,1.638854,0.966878888889,0.118356172839
1.8,1.687217,0.980313055556,0.10845787037
1.85,1.7374665,0.9835525,-0.0125978395062
1.9,1.786001,0.977740555556,-0.119361882716
1.95,1.8352215,0.969927777778,-0.182086419753
2,1.883413,0.955540833333,-0.15133287037
2.05,1.930404,0.948966666667,-0.00878672839504
2.1,1.9775665,0.9561125,0.117615123457
2.15,2.026101,0.9646875,0.172082253086
2.2,2.074121,0.972500277778,0.222367746914
2.25,2.122827,0.989269166667,0.217339197531
2.3,2.173591,0.996891388889,0.142281481481
2.35,2.222297,1.00565694444,0.00312299382717
2.4,2.274433,1.00489472222,-0.260796450617
2.45,2.3243395,0.976120833333,-0.431925925926
2.5,2.372188,0.945536666667,-0.301818827161
2.55,2.417464,0.939724722222,-0.0436160493827
2.6,2.4653125,0.951443888889,0.0501266975309
2.65,2.513504,0.950300555556,0.0344587962963
2.7,2.5603235,0.950681666667,0.0619834876543
2.75,2.608172,0.955731388889,0.0897199074074
2.8,2.655506,0.9664025,0.0211199074074
2.85,2.7060985,0.957541666667,-0.036099691358
2.9,2.751203,0.949728888889,0.113751080247
2.95,2.7990515,0.974882222222,0.159008024691
3,2.849987,0.978312222222,-0.00878672839507
3.05,2.897664,0.968689166667,-0.0969716049383
3.1,2.9465415,0.961924444444,-0.0696586419753
3.15,2.9935325,0.960876388889,-0.0111686728395
3.2,3.04241,0.9646875,-0.0168324074074
3.25,3.09043,0.960685833333,-0.0435101851852
3.3,3.13845,0.957351111111,0.00153503086418
3.35,3.1862985,0.953825833333,0.194419598765
3.4,3.233118,0.970785277778,0.441877160494
3.45,3.281824,1.00708611111,0.478823765432
3.5,3.3331025,1.05453444444,-0.0906726851851
3.55,3.3941565,0.985172222222,-0.450769753086
3.6,3.4277705,0.971452222222,-0.0933192901235
3.65,3.4895105,0.985839166667,0.34601712963
3.7,3.5313565,0.970880555556,1.19922962963
3.75,3.57749,1.08407055556,1.91850274691
3.8,3.6253385,1.38581527778,-0.997833580247
3.85,3.757222,1.01661388889,-4.11322635802
3.9,3.730125,0.5980205,-0.824311574075
3.95,3.7700845,0.915428888889,2.96573785494
4,3.8403995,1.16315111111,4.52381006173
