"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.184534,-0.00743166666667,-0.0358032716049
0.1,0.1843625,-0.0108616666667,0.0192884567901
0.15,0.183162,-0.00851783333333,0.139169074074
0.2,0.183505,-0.00552611111111,0.509450277778
0.25,0.182476,0.01715,1.48761429012
0.3,0.1833335,0.0998511111111,3.20691237654
0.35,0.183848,0.34643,4.61255601852
0.4,0.214718,0.653605555556,4.21493009259
0.45,0.256907,0.823009444444,2.64771651235
0.5,0.3013255,0.895706388889,1.34553395062
0.55,0.347459,0.927243333333,0.641695833333
0.6,0.39445,0.944393333333,0.350357561728
0.65,0.4419555,0.957922777778,0.216121759259
0.7,0.49049,0.965735555556,0.122273148148
0.75,0.538853,0.967450555556,0.0883436728395
0.8,0.5870445,0.972023888889,0.10332345679
0.85,0.635922,0.978693333333,0.10417037037
0.9,0.684971,0.984505277778,0.0624069444444
0.95,0.7345345,0.986410833333,-0.0151915123457
1,0.783755,0.984028888889,-0.10845787037
1.05,0.8333185,0.974310555556,-0.166471450617
1.1,0.8813385,0.962115,-0.119732407407
1.15,0.9290155,0.9595425,-0.0147680555556
1.2,0.9770355,0.962686666667,0.0574313271605
1.25,1.025227,0.967831666667,0.0806685185185
1.3,1.073933,0.971738055556,0.0763810185185
1.35,1.1224675,0.974215277778,0.0829975308642
1.4,1.171002,0.9818375,0.057537191358
1.45,1.22108,0.982123333333,-0.00349351851852
1.5,1.269443,0.978312222222,-0.0157208333333
1.55,1.318492,0.980503611111,-0.0300125
1.6,1.3677125,0.978312222222,-0.092525308642
1.65,1.41659,0.971071111111,-0.147892283951
1.7,1.464953,0.960971666667,-0.14963904321
1.75,1.51263,0.952491944444,-0.0775455246913
1.8,1.5597925,0.952206111111,0.0155091049383
1.85,1.607641,0.956684166667,0.0562138888889
1.9,1.6554895,0.960781111111,0.0353586419753
1.95,1.7038525,0.961829166667,-0.0132859567901
2,1.752044,0.95697,-0.0145563271605
2.05,1.799378,0.955540833333,0.0635185185185
2.1,1.8468835,0.966021388889,0.0894552469136
2.15,1.8962755,0.971356944444,-0.00995123456789
2.2,1.9446385,0.965068611111,-0.117562191358
2.25,1.99283,0.956207777778,-0.158584567901
2.3,2.0403355,0.945631944444,-0.111422067901
2.35,2.087155,0.941439722222,0.0169382716049
2.4,2.134146,0.945250833333,0.175840432099
2.45,2.1809655,0.963163055556,0.234647993827
2.5,2.230529,0.978121666667,0.102952932099
2.55,2.2794065,0.979741388889,-0.136882407407
2.6,2.3298275,0.957255833333,-0.232424845679
2.65,2.3747605,0.941535,-0.0457862654321
2.7,2.422609,0.951539166667,0.168006481481
2.75,2.4696,0.968403333333,0.192566975309
2.8,2.519678,0.981170555556,0.0127566358025
2.85,2.56907,0.968593888889,-0.163666049383
2.9,2.616404,0.956017222222,-0.18134537037
2.95,2.6642525,0.949347777778,-0.151703395062
3,2.7115865,0.940486944444,-0.0954895061728
3.05,2.758063,0.9372475,0.00142916666667
3.1,2.8048825,0.941916111111,0.0685470679012
3.15,2.8522165,0.947918611111,0.0620364197531
3.2,2.8998935,0.950014722222,0.0158796296296
3.25,2.947399,0.948109166667,0.00217021604938
3.3,2.994733,0.94668,0.0657945987655
3.35,3.0418955,0.949824166667,0.223638117284
3.4,3.0888865,0.970118333333,0.349775308642
3.45,3.138793,0.990603055556,0.356921141975
3.5,3.1880135,1.01413666667,0.156573148148
3.55,3.241693,1.00832472222,-0.233112962963
3.6,3.286283,1.01747138889,-1.03365802469
3.65,3.349052,0.930101666667,-2.00655
3.7,3.3886685,0.702006666667,-0.919536419753
3.75,3.4020455,0.770416111111,1.33229033951
3.8,3.4596695,0.955255,1.54230373457
3.85,3.508204,0.976978333333,0.649593302469
3.9,3.556567,0.995729,-0.0133706481485
3.95,3.609389,0.966021388889,-0.533089753087
4,3.6531215,0.920192777778,-0.773168580247
