"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1823045,0.0276305555556,-0.237347530864
0.1,0.184877,0.00466861111111,0.206620447531
0.15,0.182819,0.00914666666667,1.00610157407
0.2,0.182476,0.0761269444444,2.19631157407
0.25,0.1843625,0.257154722222,2.8169404321
0.3,0.208887,0.427035,2.10844429012
0.35,0.2334115,0.481819722222,1.03143487654
0.4,0.258279,0.498969722222,0.443623919753
0.45,0.282632,0.513833055556,0.157949382716
0.5,0.310415,0.515262222222,-0.0395932098765
0.55,0.3349395,0.502876111111,-0.0889259259259
0.6,0.3599785,0.501542222222,-0.0454686728395
0.65,0.3850175,0.501446944444,-0.0474271604938
0.7,0.410228,0.499541388889,-0.0922077160494
0.75,0.435267,0.492014444444,-0.120738117284
0.8,0.4597915,0.480485833333,-0.0245075617284
0.85,0.4824295,0.484963888889,0.135135648148
0.9,0.507297,0.505162777778,0.0981361111111
0.95,0.5342225,0.503924166667,-0.091837191358
1,0.558747,0.484963888889,-0.0985595679012
1.05,0.5815565,0.484582777778,0.0602367283951
1.1,0.606424,0.498112222222,0.108987191358
1.15,0.6319775,0.502780833333,0.0268365740741
1.2,0.657188,0.498683888889,-0.0356762345679
1.25,0.6817125,0.495158611111,-0.0289009259259
1.3,0.7064085,0.496397222222,-0.0183145061728
1.35,0.731619,0.494110555556,-0.0149268518519
1.4,0.7558005,0.492681388889,0.0199554012346
1.45,0.7804965,0.497254722222,0.0325532407407
1.5,0.805707,0.498969722222,-0.00349351851852
1.55,0.830746,0.495063333333,-0.010374691358
1.6,0.8549275,0.495539722222,0.0229725308642
1.65,0.880138,0.498969722222,0.0320239197531
1.7,0.9050055,0.499731944444,0.022125617284
1.75,0.9300445,0.501161111111,0.0121214506173
1.8,0.955255,0.500589444444,0.0107452160494
1.85,0.9801225,0.500017777778,0.0441983024691
1.9,1.0048185,0.506496666667,0.049650308642
1.95,1.031058,0.508306944444,-0.00545200617284
2,1.0559255,0.504686388889,-0.0441983024691
2.05,1.0813075,0.503638333333,-0.0717759259259
2.1,1.1066895,0.496206666667,-0.0660063271605
2.15,1.1306995,0.493348333333,0.00534614197531
2.2,1.155567,0.498493333333,0.0482740740741
2.25,1.1807775,0.500684722222,0.0468978395062
2.3,1.205645,0.502590277778,0.0540436728395
2.35,1.231027,0.505353333333,0.0731521604938
2.4,1.2562375,0.507735277778,0.117615123457
2.45,1.281105,0.520883611111,0.0873908950617
2.5,1.308888,0.523265555556,-0.0567432098766
2.55,1.33427,0.510593611111,-0.110786882716
2.6,1.359652,0.504400555556,-0.035887962963
2.65,1.3841765,0.505829722222,0.0448864197531
2.7,1.4092155,0.523265555556,-0.12005
2.75,1.438885,0.499160277778,-0.369360185185
2.8,1.459465,0.468576111111,-0.300336728395
2.85,1.4843325,0.462001944444,-0.079662808642
2.9,1.505427,0.463240555556,0.113433487654
2.95,1.5299515,0.479723611111,0.176263888889
3,1.5539615,0.4862025,0.122855401235
3.05,1.5786575,0.490966388889,0.0766986111111
3.1,1.603182,0.492300277778,0.0614541666667
3.15,1.627878,0.4947775,0.0901962962963
3.2,1.6524025,0.501256388889,0.113539351852
3.25,1.6777845,0.510879444444,0.0536202160494
3.3,1.7041955,0.508211666667,-0.0362055555556
3.35,1.72872,0.502685555556,-0.0490151234568
3.4,1.754102,0.502495,-0.0404401234568
3.45,1.779141,0.499636666667,-0.0400166666667
3.5,1.8040085,0.4982075,-0.0321827160494
3.55,1.8290475,0.495539722222,-0.00963364197531
3.6,1.8534005,0.496206666667,0.0260425925926
3.65,1.8784395,0.500494166667,0.015562037037
3.7,1.90365,0.500589444444,-0.0384287037037
3.75,1.9288605,0.4947775,-0.0450981481482
3.8,1.9532135,0.489060833333,0.0765927469136
3.85,1.9768805,0.499255555556,0.258043981481
3.9,2.0026055,0.522503333333,0.290650154321
3.95,2.0297025,0.532316944444,0.24909845679
4,2.055256,0.551467777778,0.194525462963
4.05,2.087841,0.533174444444,0.402125154321
4.1,2.104648,0.575001388889,0.744278240741
4.15,2.1401485,0.684189722222,-0.158425771605
4.2,2.1864535,0.578907777778,-1.33870570988
4.25,2.200345,0.430560277778,-0.593527623457
4.3,2.213036,0.538986388889,-0.0759575617284
4.35,2.2629425,0.514214166667,-0.931075617284
4.4,2.272032,0.375870833333,-0.65900462963
4.45,2.290211,0.403691944444,0.329396450617
4.5,2.311477,0.451616666667,0.668161882716
4.55,2.336173,0.501161111111,0.434784259259
4.6,2.364985,0.489346666667,0.170917746914
4.65,2.3833355,0.499255555556,0.197542592593
4.7,2.4131765,0.532221666667,-0.104540895062
4.75,2.441474,0.486678888889,-0.322102407407
4.8,2.4605105,0.464765,0.0385557407407
4.85,2.484349,0.4999225,0.250061820988
4.9,2.5119605,0.5146715,0.0479247222219
4.95,2.5376855,0.502113888889,-0.149596697531
5,2.5613525,0.486869444444,-0.259621358025
