"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.186935,0.00819388888889,-0.160204290123
0.1,0.1874495,0.00166736111111,-0.199231126543
0.15,0.1874495,-0.0063455,-0.237066990741
0.2,0.1881355,-0.0336330555556,-0.0446270524691
0.25,0.1826475,-0.0321086111111,0.612069737654
0.3,0.1829905,0.0181027777778,1.49192296296
0.35,0.1829905,0.110426944444,2.4093632716
0.4,0.189336,0.287453055556,2.68455725309
0.45,0.213346,0.4330375,1.89888611111
0.5,0.237699,0.48363,0.907732561728
0.55,0.262738,0.500017777778,0.316322222222
0.6,0.2879485,0.501732777778,0.0512912037037
0.65,0.313159,0.498683888889,-0.0232901234568
0.7,0.3376835,0.496968888889,-0.0266777777778
0.75,0.3627225,0.49735,-0.0381640432099
0.8,0.3877615,0.492586111111,-0.0377405864198
0.85,0.4117715,0.491442777778,-0.00545200617284
0.9,0.436639,0.494205833333,-0.0073575617284
0.95,0.4615065,0.492205,-0.0290597222222
1,0.486031,0.488012777778,0.00179969135803
1.05,0.5098695,0.490966388889,0.0536202160494
1.1,0.5349085,0.497445277778,0.0420280864197
1.15,0.560119,0.496111388889,0.0206435185185
1.2,0.5846435,0.494110555556,0.0814625
1.25,0.608825,0.503257222222,0.144292901235
1.3,0.63455,0.518311111111,0.0400166666667
1.35,0.66199,0.510688888889,-0.121532098765
1.4,0.686,0.495635,-0.103905709877
1.45,0.7105245,0.496683055556,-0.00635185185186
1.5,0.735735,0.499160277778,0.030700617284
1.55,0.7606025,0.499731944444,0.0518734567901
1.6,0.785127,0.508021111111,0.015562037037
1.65,0.8123955,0.501351666667,-0.00524027777777
1.7,0.8353765,0.495253888889,0.165624537037
1.75,0.859901,0.521836388889,0.24698117284
1.8,0.888027,0.538319444444,0.0248780864198
1.85,0.91581,0.522598611111,-0.183780246914
1.9,0.9403345,0.501256388889,-0.0973421296296
1.95,0.9633155,0.521264722222,-0.120843981481
2,0.995043,0.499731944444,-0.293773148148
2.05,1.013565,0.474388055556,-0.163507253086
2.1,1.040662,0.479151944444,0.0687587962963
2.15,1.0620995,0.482010277778,0.270906481481
2.2,1.08731,0.509926666667,0.330613888889
2.25,1.1121775,0.545846388889,-0.139846604938
2.3,1.146992,0.496016111111,-0.585534876543
2.35,1.161741,0.444375555556,-0.281122376543
2.4,1.187123,0.465527222222,0.117403395062
2.45,1.209418,0.474483333333,0.221944290123
2.5,1.2342855,0.492395555556,0.190079166667
2.55,1.259153,0.497064166667,0.0645771604938
2.6,1.2843635,0.495635,0.000582253086419
2.65,1.3087165,0.492967222222,0.0104805555556
2.7,1.333241,0.497159444444,0.0204847222222
2.75,1.358623,0.498112222222,-0.0194260802469
2.8,1.383319,0.494396388889,-0.0436160493827
2.85,1.408015,0.4913475,-0.022125617284
2.9,1.432368,0.490394722222,0.0330825617284
2.95,1.456721,0.495635,0.0677530864198
3,1.4819315,0.50078,0.0356762345679
3.05,1.507142,0.4999225,-0.0121214506173
3.1,1.5320095,0.497159444444,-0.0195319444444
3.15,1.5567055,0.496683055556,-0.00164089506174
3.2,1.581573,0.498016944444,0.00328179012345
3.25,1.606612,0.497921666667,-0.0053461419753
3.3,1.6314795,0.496111388889,0.00783395061729
3.35,1.656004,0.497826388889,0.0375288580247
3.4,1.6812145,0.501256388889,0.0405459876543
3.45,1.7062535,0.501923333333,0.0378464506173
3.5,1.731121,0.507258888889,-0.000317592592576
3.55,1.7577035,0.500589444444,-0.01715
3.6,1.7806845,0.501923333333,0.0253015432099
3.65,1.80761,0.507258888889,0.00624598765431
3.7,1.8321345,0.502399722222,-0.0141858024691
3.75,1.8575165,0.502018611111,0.0134976851852
3.8,1.881698,0.509926666667,-0.0471095679012
3.85,1.909824,0.4982075,-0.108246141975
3.9,1.9316045,0.485630833333,0.0509206790124
3.95,1.9563005,0.507068333333,0.157684722222
4,1.9833975,0.51107,0.139634876543
4.05,2.008265,0.510498333333,0.255609104938
4.1,2.032961,0.527934166667,0.463791049383
4.15,2.058,0.591770277778,0.153238425926
4.2,2.0993315,0.539843888889,-0.00359938271605
4.25,2.111165,0.524123055556,0.814413271605
4.3,2.1425495,0.6388375,1.14571527778
4.35,2.1727335,0.780134444444,-0.850671759259
4.4,2.24322,0.537843055556,-2.53163641975
4.45,2.2221255,0.355957777778,-1.20949845679
4.5,2.2646575,0.422080555556,0.1929375
4.55,2.2684305,0.435038333333,0.597444598765
4.6,2.303245,0.538891111111,-0.0763280864198
4.65,2.3356585,0.412552777778,-0.569020061728
4.7,2.3384025,0.392163333333,0.418534104938
4.75,2.3658425,0.510688888889,0.524260679012
4.8,2.398599,0.491442777778,-0.100163410494
4.85,2.4166065,0.447519722222,0.0749571450615
4.9,2.4378725,0.4841445,0.511149398148
4.95,2.4649695,0.524837638889,0.608422716049
5,2.4930955,0.550324444444,0.589695339505
