"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.184534,-0.018865,0.546036944444
0.1,0.183162,-0.00328708333333,1.07003296296
0.15,0.183505,0.038759,2.07557875
0.2,0.1829905,0.159495,3.70499813272
0.25,0.1908795,0.443803888889,4.63034649691
0.3,0.228095,0.716965277778,3.72097833333
0.35,0.2704555,0.843970555556,2.12697052469
0.4,0.315217,0.898469444444,1.00523348765
0.45,0.361179,0.918096666667,0.460615123457
0.5,0.407141,0.931626111111,0.280540123457
0.55,0.454475,0.942106666667,0.233430555556
0.6,0.5012945,0.953254166667,0.228454938272
0.65,0.549486,0.968498611111,0.159696141975
0.7,0.5987065,0.972786111111,0.032712037037
0.75,0.647241,0.968308055556,-0.0302771604938
0.8,0.6954325,0.9646875,0.000529320987656
0.85,0.743281,0.968403333333,0.0390109567901
0.9,0.79233,0.971928611111,0.016461882716
0.95,0.840693,0.971166388889,-0.0374759259259
1,0.889399,0.969260833333,-0.106181790123
1.05,0.938105,0.959351944444,-0.1414875
1.1,0.985439,0.948395,-0.0617188271605
1.15,1.0319155,0.954206944444,0.0039699074074
1.2,1.081136,0.955921944444,-0.0396461419753
1.25,1.1282985,0.946394166667,-0.0235547839506
1.3,1.175118,0.9475375,0.0804567901235
1.35,1.2222805,0.960876388889,0.078074845679
1.4,1.2720155,0.961448055556,-0.0251427469136
1.45,1.3190065,0.952110833333,-0.0285304012346
1.5,1.366512,0.954111666667,0.0451510802469
1.55,1.414189,0.960304722222,0.0603955246914
1.6,1.4627235,0.963925277778,0.00529320987654
1.65,1.510915,0.960971666667,-0.0579077160494
1.7,1.558935,0.955255,-0.0650535493827
1.75,1.606269,0.952206111111,-0.0145033950617
1.8,1.6541175,0.952206111111,0.071299537037
1.85,1.70128,0.957255833333,0.172664506173
1.9,1.748957,0.976406666667,0.132965432099
1.95,1.799721,0.980408333333,-0.0846913580247
2,1.848084,0.963639444444,-0.219244753086
2.05,1.8959325,0.948871388889,-0.161919290123
2.1,1.942752,0.93982,0.0446217592593
2.15,1.9885425,0.956207777778,0.198230709877
2.2,2.038449,0.971928611111,0.128995524691
2.25,2.086812,0.9698325,0.0306476851852
2.3,2.1353465,0.968593888889,0.0187379629629
2.35,2.183195,0.972119166667,-0.00127037037037
2.4,2.2324155,0.977264166667,-0.14963904321
2.45,2.282665,0.953349444444,-0.219456481481
2.5,2.3270835,0.941058611111,-0.0391168209877
2.55,2.3754465,0.952015555556,0.105652469136
2.6,2.422609,0.959733055556,0.104858487654
2.65,2.4714865,0.966307222222,0.0169912037037
2.7,2.5198495,0.960495277778,-0.0574313271605
2.75,2.5675265,0.955159722222,-0.030912345679
2.8,2.615032,0.955350277778,0.0345646604938
2.85,2.662709,0.962115,0.0393814814815
2.9,2.7115865,0.9629725,-0.027312962963
2.95,2.7592635,0.958494444444,-0.0826799382716
3,2.807455,0.952777777778,-0.0945367283951
3.05,2.8546175,0.946298888889,-0.0433513888889
3.1,2.90178,0.945727222222,0.071087808642
3.15,2.9489425,0.953444722222,0.172558641975
3.2,2.9969625,0.963544166667,0.224908487654
3.25,3.044125,0.989840833333,0.0381111111111
3.3,3.0984905,0.972405,-0.203735648148
3.35,3.142223,0.943535833333,-0.00142916666666
3.4,3.1899,0.964306388889,0.312193518519
3.45,3.237577,1.00117888889,0.174252469136
3.5,3.2922855,0.999845,-0.262543209877
3.55,3.3403055,0.950681666667,-0.270906481481
3.6,3.3848955,0.944774444444,0.217974382716
3.65,3.432401,0.984028888889,0.47892962963
3.7,3.483165,1.02375972222,0.141116975309
3.75,3.536673,1.02166361111,-0.583629320988
3.8,3.5900095,0.938105,-0.725937268519
3.85,3.629283,0.885988055556,0.326352854938
3.9,3.6716435,0.959256666667,1.60849532407
3.95,3.7220645,1.09193097222,2.20054614197
4,3.787063,1.21002777778,2.37691589506
